note_id,card_id,tags_list,pressed,deck,review_time_s,review_datetime
1718643960257,1718643960260,,3,01_own,14.8,2024-06-18T11:37:26Z
1718643960257,1718643960260,,3,01_own,11.4,2024-06-23T09:42:33Z
1718643960257,1718643960260,,3,01_own,3.67,2024-07-11T12:17:21Z
1718643960257,1718643960260,,3,01_own,4.22,2024-09-04T08:49:22Z
1718643960257,1718643960260,,3,01_own,2.68,2024-10-26T11:08:48Z
1718644096187,1718644096187,,3,01_own,32.02,2024-06-18T11:53:06Z
1718644096187,1718644096187,,3,01_own,12.78,2024-06-21T11:58:45Z
1718644096187,1718644096187,,3,01_own,4.68,2024-07-01T10:51:45Z
1718644096187,1718644096187,,3,01_own,5.18,2024-08-10T19:01:46Z
1718644096187,1718644096187,,3,01_own,12.94,2024-10-05T11:10:18Z
1718644152346,1718644152346,,1,01_own,37.92,2024-06-18T11:55:55Z
1718644152346,1718644152346,,3,01_own,3.6,2024-06-18T12:20:11Z
1718644152346,1718644152346,,3,01_own,7.1,2024-06-19T06:53:13Z
1718644152346,1718644152346,,1,01_own,44.36,2024-06-21T11:58:25Z
1718644152346,1718644152346,,3,01_own,6.84,2024-06-21T12:24:32Z
1718644152346,1718644152346,,3,01_own,4.48,2024-06-22T11:31:20Z
1718644152346,1718644152346,,3,01_own,60,2024-06-24T11:57:26Z
1718644152346,1718644152346,,3,01_own,6.63,2024-06-30T09:23:11Z
1718644152346,1718644152346,,3,01_own,13.33,2024-07-08T18:34:33Z
1718644152346,1718644152346,,3,01_own,7.82,2024-07-24T08:38:06Z
1718644273297,1718644273298,,3,01_own,11.34,2024-06-18T11:54:27Z
1718644273297,1718644273298,,3,01_own,60,2024-06-22T11:30:25Z
1718644273297,1718644273298,,3,01_own,6.56,2024-07-06T18:46:19Z
1718644273297,1718644273298,,3,01_own,6.42,2024-08-25T12:28:42Z
1718644273297,1718644273298,,3,01_own,9.47,2024-10-21T09:53:01Z
1718644319395,1718644319395,,3,01_own,11.81,2024-06-18T11:36:55Z
1718644319395,1718644319395,,3,01_own,6.5,2024-06-21T11:59:14Z
1718644319395,1718644319395,,3,01_own,52.09,2024-07-04T12:06:18Z
1718644319395,1718644319395,,3,01_own,11.11,2024-08-11T15:20:53Z
1718644393018,1718644393019,,3,01_own,9.6,2024-06-18T11:37:11Z
1718644393018,1718644393019,,3,01_own,5.24,2024-06-22T11:30:45Z
1718644393018,1718644393019,,3,01_own,21.61,2024-07-05T18:51:51Z
1718644393018,1718644393019,,3,01_own,18.59,2024-08-22T12:05:30Z
1718644393018,1718644393019,,3,01_own,7.65,2024-10-05T11:08:59Z
1718644438952,1718644438952,,1,01_own,28.5,2024-06-18T09:42:16Z
1718644438952,1718644438952,,3,01_own,5.85,2024-06-18T11:37:01Z
1718644438952,1718644438952,,3,01_own,7.79,2024-06-19T06:52:42Z
1718644438952,1718644438952,,3,01_own,6.94,2024-06-22T11:27:43Z
1718644438952,1718644438952,,3,01_own,9.19,2024-06-29T11:49:26Z
1718644438952,1718644438952,,3,01_own,8.38,2024-07-16T19:01:18Z
1718644491428,1718644491429,,3,01_own,10.68,2024-06-18T11:55:17Z
1718644491428,1718644491429,,3,01_own,12.42,2024-06-23T09:43:23Z
1718644491428,1718644491429,,3,01_own,16.1,2024-07-13T11:56:28Z
1718644491428,1718644491429,,3,01_own,3.93,2024-09-16T17:53:33Z
1718644568039,1718644568040,,1,01_own,21.15,2024-06-18T11:37:47Z
1718644568039,1718644568040,,1,01_own,17.75,2024-06-18T11:56:13Z
1718644568039,1718644568040,,3,01_own,28.73,2024-06-18T12:20:50Z
1718644568039,1718644568040,,3,01_own,17.11,2024-06-19T06:52:59Z
1718644568039,1718644568040,,1,01_own,11.79,2024-06-23T09:43:35Z
